path,class,sport
../Dataset/noFights/v_BrushingTeeth_g02_c01.avi,0,noFights
../Dataset/noFights/v_TennisSwing_g22_c01.avi,0,noFights
../Dataset/fights/v_Punch_g04_c04.avi,1,fights
../Dataset/noFights/v_FloorGymnastics_g11_c01.avi,0,noFights
../Dataset/noFights/v_BandMarching_g09_c01.avi,0,noFights
../Dataset/noFights/v_BoxingPunchingBag_g16_c06.avi,0,noFights
../Dataset/noFights/v_Surfing_g12_c05.avi,0,noFights
../Dataset/noFights/v_TableTennisShot_g08_c03.avi,0,noFights
../Dataset/fights/newfi10.avi,1,fights
../Dataset/noFights/v_FrisbeeCatch_g04_c03.avi,0,noFights
../Dataset/noFights/v_VolleyballSpiking_g25_c02.avi,0,noFights
../Dataset/noFights/v_PlayingSitar_g09_c02.avi,0,noFights
../Dataset/noFights/v_PlayingGuitar_g04_c05.avi,0,noFights
../Dataset/noFights/v_SoccerJuggling_g20_c02.avi,0,noFights
../Dataset/noFights/v_HandStandPushups_g24_c01.avi,0,noFights
../Dataset/noFights/v_IceDancing_g24_c03.avi,0,noFights
../Dataset/fights/fi112_xvid.avi,1,fights
../Dataset/noFights/v_Lunges_g10_c01.avi,0,noFights
../Dataset/noFights/v_WritingOnBoard_g22_c04.avi,0,noFights
../Dataset/noFights/v_IceDancing_g18_c04.avi,0,noFights
../Dataset/noFights/v_Knitting_g11_c04.avi,0,noFights
../Dataset/noFights/v_Shotput_g08_c02.avi,0,noFights
../Dataset/noFights/v_JumpRope_g17_c05.avi,0,noFights
../Dataset/noFights/v_Biking_g10_c02.avi,0,noFights
../Dataset/noFights/v_TrampolineJumping_g19_c05.avi,0,noFights
../Dataset/noFights/v_Bowling_g20_c05.avi,0,noFights
../Dataset/noFights/v_WalkingWithDog_g22_c02.avi,0,noFights
../Dataset/noFights/v_Typing_g25_c01.avi,0,noFights
../Dataset/noFights/v_ApplyLipstick_g07_c02.avi,0,noFights
../Dataset/noFights/v_ApplyLipstick_g08_c03.avi,0,noFights
../Dataset/noFights/no85_xvid.avi,0,noFights
../Dataset/noFights/v_Skiing_g23_c04.avi,0,noFights
../Dataset/noFights/v_JavelinThrow_g02_c04.avi,0,noFights
../Dataset/noFights/v_BenchPress_g10_c04.avi,0,noFights
../Dataset/noFights/v_Skijet_g16_c03.avi,0,noFights
../Dataset/noFights/v_FrontCrawl_g21_c04.avi,0,noFights
../Dataset/noFights/v_UnevenBars_g13_c01.avi,0,noFights
../Dataset/noFights/v_PlayingCello_g04_c01.avi,0,noFights
../Dataset/noFights/v_PlayingGuitar_g18_c04.avi,0,noFights
../Dataset/noFights/v_Kayaking_g13_c04.avi,0,noFights
../Dataset/noFights/v_FloorGymnastics_g09_c02.avi,0,noFights
../Dataset/noFights/v_BoxingPunchingBag_g03_c04.avi,0,noFights
../Dataset/noFights/v_SalsaSpin_g22_c04.avi,0,noFights
../Dataset/noFights/no151_xvid.avi,0,noFights
../Dataset/noFights/v_PlayingFlute_g13_c02.avi,0,noFights
../Dataset/noFights/v_FloorGymnastics_g16_c02.avi,0,noFights
../Dataset/noFights/v_RockClimbingIndoor_g17_c06.avi,0,noFights
../Dataset/noFights/v_PushUps_g02_c02.avi,0,noFights
../Dataset/noFights/v_Skijet_g20_c03.avi,0,noFights
../Dataset/noFights/v_PlayingViolin_g06_c04.avi,0,noFights
../Dataset/noFights/v_FrontCrawl_g13_c01.avi,0,noFights
../Dataset/noFights/v_RockClimbingIndoor_g16_c01.avi,0,noFights
../Dataset/noFights/v_Skiing_g23_c02.avi,0,noFights
../Dataset/noFights/v_PoleVault_g18_c03.avi,0,noFights
../Dataset/noFights/v_PoleVault_g14_c04.avi,0,noFights
../Dataset/noFights/v_LongJump_g12_c03.avi,0,noFights
../Dataset/noFights/v_WallPushups_g10_c01.avi,0,noFights
../Dataset/noFights/v_WallPushups_g17_c02.avi,0,noFights
../Dataset/noFights/v_SoccerPenalty_g23_c06.avi,0,noFights
../Dataset/noFights/v_Diving_g23_c06.avi,0,noFights
../Dataset/noFights/v_BlowDryHair_g10_c01.avi,0,noFights
../Dataset/fights/v_Punch_g08_c05.avi,1,fights
../Dataset/noFights/v_JumpRope_g04_c04.avi,0,noFights
../Dataset/noFights/v_SoccerJuggling_g13_c04.avi,0,noFights
../Dataset/noFights/v_JumpingJack_g10_c05.avi,0,noFights
../Dataset/noFights/v_Knitting_g03_c05.avi,0,noFights
